date	Correct	Wrong	Benign	Mal	New_fam_cnt	New_fam	Unique_fam
2016-02	385	15	157	243	8	dataeye,tencentprotect,hqwar,malapp,baiduprotect,pegasus	smsreg,benign,infosteal,smscmd,smssend,triada,skymobi,gappusin,leech,tekwon,execdownload,apptrack,ewind,ztorg,unknown,kuguo,dowgin,minimob,kyview,secapk,adware,feejar,oveead,uupay,smspay,clicks,systemmonitor,baiduprotect,callpay,guerrilla,linux,malapp,wapron,dataeye,fakeapp,hqwar,xinyinhe,fakeinst,pegasus,adflex,hiddad,tencentprotect,loki,tool,admogo
2016-03	383	17	140	260	4	jisut,kapuser,binka,gluper	minimob,infosteal,ztorg,benign,smssend,adware,triada,smspay,execdownload,unknown,secapk,smsreg,binka,kalfere,packed,skymobi,fakeinst,vnapstore,drosel,dowgin,wapron,sms,shedun,linux,fakeapp,vmvol,hqwar,kapuser,marcher,airpush,leech,apptrack,ewind,gluper,rootnik,jisut
2016-04	380	20	228	172	6	frupi,cepsbot,hypay,frelect,razam,coinge	server,infosteal,mobisec,benign,smssend,fakeapp,apptrack,rooter,tekwon,smforw,tencentprotect,fakeinst,nativead,execdownload,kyview,tool,unknown,adware,rootnik,kuguo,lockscreen,smsreg,secapk,drosel,packed,vnapstore,minimob,smsthief,dowgin,gappusin,gorpo,spyware,kapuser,linux,gamex,smspay,hiddad,frelect,ztorg,zdtad,tispy,hqwar,triada,frupi,shedun,hypay,umpay,loki,adflex,gluper,cepsbot,coinge,smsagent,systemmonitor,opfake,levida,razam
2016-05	381	19	238	162	7	pornvideo,gidby,axent,phonespy,sacto	drosel,infosteal,benign,smsthief,execdownload,unknown,adware,small,sms,sacto,gappusin,smsagent,packed,gorpo,rootnik,smsreg,pornvideo,triada,gidby,kuguo,windows,ztorg,leadbolt,secapk,apptrack,youmi,hypay,kapuser,linux,exploit,fakeapp,joye,server,fakeinst,kalfere,shedun,hiddad,axent,gluper,tool,phonespy,hiddenapp,jsmshider,autoins,dowgin,levida,smsspy
2016-06	376	24	189	211	0		benign,packed,adware,smssend,systemmonitor,rooter,svpeng,virus,unknown,smsreg,exploit,spyware,clicks,tekwon,pornvideo,linux,axent,kapuser,fakeinst,joye,dowgin,uupay,smsthief,triada,execdownload,ztorg,domob,infosteal,secapk,syringe,sprovider,smspay,bips,hiddad,minimob,skymobi,gluper,mobidash,spyoo
2016-07	370	30	210	190	6	vpsdrop,blouns,loodos,hmad	smsreg,fakeapp,hiddad,ztorg,ewind,benign,smspay,rooter,youmi,hypay,rootnik,spyware,oveead,clicks,triada,lockscreen,adware,tekwon,packed,unknown,linux,ramnit,kuguo,vpsdrop,airpush,loodos,fakeinst,infosteal,domob,cynos,gidby,hmad,exploit,execdownload,sprovider,opfake,feejar,gappusin,odpa,tispy,smsspy,blouns,smsthief,uupay,coinge,smssend,kalfere,xinyinhe,gluper,phonespy,leadbolt,small,syringe,smsagent
2016-08	375	25	158	242	7	kyvu,spyapp,batmobi,hiddapp,anlost	benign,ztorg,rootnik,boqx,hypay,smspay,adware,apptrack,skymobi,anlost,clicks,batmobi,secapk,execdownload,smsreg,packed,hiddapp,triada,hiddad,smsthief,unknown,coinge,smssend,kuguo,drosel,smsspy,fakeinst,infosteal,admogo,ewind,systemmonitor,kyvu,qysly,exploit,syringe,spyapp,blouns,smforw,mobisec,dowgin,tool,shedun,sprovider,hiddenapp,phonespy,rooter
2016-09	369	31	121	279	6	appad,worm,inject,adviator,secneo,autoinst	execdownload,rootnik,infosteal,benign,adware,smsspy,hiddad,secneo,clicks,coinge,minimob,batmobi,smsreg,nativead,ztorg,syringe,appad,fakeinst,smsthief,smssend,small,adviator,skymobi,inject,hiddenapp,fakeapp,systemmonitor,triada,kuguo,tencentprotect,rooter,packed,hypay,smspay,exploit,youmi,secapk,autoinst,umpay,worm,blouns,smforw,apptrack,wapron,phonespy,smsagent
2016-10	378	22	196	204	1	roversa	rootnik,benign,umpay,smspay,gappusin,unknown,autoins,batmobi,execdownload,ztorg,apptrack,dnotua,virus,appad,avpass,infosteal,smsreg,hiddad,smssend,nineap,airpush,sprovider,smsthief,adware,wroba,mobidash,kalfere,cimsci,androrat,blouns,spyware,roversa,smskey,skymobi,domob,tencentprotect,smforw,opfake,secneo,rooter,ewind,ramnit
2016-11	362	38	222	178	5	duad,mobextra,stealthcell,hiddenads	benign,yeahmobi,smsreg,smssend,ztorg,execdownload,clicks,secapk,triada,roversa,batmobi,adware,systemmonitor,dianle,spyware,mobextra,avpass,apptrack,ewind,dowgin,hiddenads,fakeapp,kuguo,sprovider,vnapstore,infosteal,tool,duad,smsthief,gappusin,rootnik,skymobi,youmi,windows,tencentprotect,rooter,packed,smspay,hiddad,pornvideo,wapron,opfake,admogo,syringe,stealthcell,umpay,fakeinst,smsspy
2016-12	372	28	209	191	8	hummingbad,zadmo,styricka,zapch,simpatchy,pipe,mobby,hidden	adware,hidden,xynyin,benign,virus,smssend,clicks,rooter,execdownload,tencentprotect,systemmonitor,cynos,skymobi,hiddad,exploit,smsreg,unknown,infosteal,smsthief,triada,linux,dnotua,hypay,ewind,sprovider,spyware,syringe,tool,wapron,gappusin,packed,kyview,ztorg,kingroot,androrat,joynow,smspay,boogr,simpatchy,zapch,umpay,apptrack,gumen,hummingbad,roversa,zadmo,mobidash,phonespy,adwo,mobby,pornvideo,fakeapp,dowgin,secapk,baiduprotect,styricka,pipe
2017-01	371	29	193	207	8	lezok,virut,congur,silentinstaller,seldor,youku	domob,skymobi,secapk,umpay,apptrack,baiduprotect,ginmaster,execdownload,smsthief,syringe,packed,oimobi,benign,smsreg,ztorg,tekwon,adware,unknown,hiddad,gappusin,dnotua,utchi,roversa,systemmonitor,kuguo,clicks,ewind,wroba,hiddenapp,sprovider,tool,rooter,congur,hiddenads,autoins,duad,cimsci,cyfin,lezok,linux,sms,virut,guerrilla,kingroot,silentinstaller,smspay,smssend,opfake,smsagent,triada,ransomware,youku,dowgin,fakeapp,fakeinst,wapron,seldor,youmi
2017-02	380	20	130	270	3	toofan,gmobi,xafekopy	benign,skymobi,packed,ginmaster,execdownload,syringe,smsreg,tool,clicks,adware,hiddad,ewind,systemmonitor,apptrack,cyfin,adend,dnotua,sprovider,airpush,youmi,infosteal,fakeinst,gappusin,secapk,smskey,gmobi,smsthief,smsspy,kuguo,dowgin,igexin,commplat,vpsdrop,unknown,fadeb,hypay,ztorg,wapron,blouns,smspay,linux,xafekopy,styricka,rooter,virus,silentinstaller,smssend,toofan,shedun,rootnik
2017-03	366	34	186	214	5	ubsod,hasad,yimeng,piom	packed,skymobi,benign,wapron,qysly,hiddad,hiddenads,adware,triada,dnotua,apptrack,smsreg,execdownload,unknown,clicks,spyware,xafekopy,hiddenapp,tispy,dingwe,smssend,infosteal,fakeapp,smskey,mobidash,smsthief,airpush,smspay,ewind,sprovider,kyview,tekwon,yimeng,gappusin,virus,admogo,ztorg,adwo,exploit,shedun,rooter,autoins,pornvideo,hypay,ubsod,phonespy,piom,hasad,youmi,smsagent,fakeinst,syringe,smforw,styricka,guerrilla
2017-04	358	42	279	121	1	subspod	apptrack,benign,execdownload,sprovider,adware,qysly,hypay,hiddad,subspod,spyware,youmi,systemmonitor,ginmaster,unknown,infosteal,ztorg,mobidash,kuguo,windows,syringe,gappusin,exploit,cimsci,packed,clicks,smsreg,ewind,smsthief,phonespy,fakeinst,smssend,ubsod,xafekopy,rooter,piom,virus,cyfin
2017-05	383	17	310	90	2	ransomkd,soundy	execdownload,hiddad,sprovider,smsspy,hiddenads,packed,adware,spyware,benign,infosteal,ewind,small,smsreg,autoins,unknown,silentinstaller,triada,kyview,ransomware,bips,clicks,wapron,mobidash,ransomkd,apptrack,systemmonitor,mobby,styricka,ramnit,dnotua,windows,soundy,smforw,fakeapp,shedun
2017-06	385	15	312	88	2	sandr,inmobi	sprovider,packed,benign,adware,hiddad,ramnit,smsreg,smsagent,secneo,gappusin,smsspy,unknown,dowgin,youmi,infosteal,triada,kyview,frupi,windows,execdownload,sandr,tekwon,skymobi,pornvideo,kuguo,secapk,syringe,mobidash,rooter,fakeapp,styricka,appad,inmobi,lockscreen,loki,viser,airpush
2017-07	371	29	246	154	4	lardlond,masspr,mazarbot	kyview,rootnik,smsreg,masspr,benign,guerrilla,hiddenapp,smsspy,execdownload,smsagent,skymobi,dnotua,smspay,hiddad,adware,spyware,qysly,kuguo,virus,mobidash,exploit,triada,lardlond,infosteal,wapron,tool,cova,youmi,hiddapp,ewind,packed,tencentprotect,syringe,smskey,smforw,mazarbot,rooter,apptrack,gappusin,xafekopy,windows
2017-08	380	20	134	266	4	lotusid,yoga,ratker,gamclk	benign,adware,lardlond,execdownload,ewind,ratker,sprovider,smsreg,smspay,tool,linux,sms,dowgin,packed,hiddad,triada,ramnit,hypay,syringe,unknown,mobisec,gamclk,youmi,loki,infosteal,lezok,systemmonitor,yoga,lockscreen,lotusid,dnotua,rooter,hiddapp
2017-09	377	23	250	150	0		execdownload,adware,mobby,packed,benign,sprovider,smsreg,ewind,infosteal,smssend,secneo,gappusin,kyview,triada,shedun,hypay,smspay,hiddad,rootnik,appad,hiddapp,boogr,unknown,lezok,smskey,fakeapp,mobidash,xafekopy,tool
2017-10	386	14	217	183	1	skygofree	execdownload,smsreg,adware,lockscreen,cyfin,benign,youmi,guerrilla,dowgin,boogr,ginmaster,shedun,tool,triada,ewind,smsagent,windows,hiddad,fakeapp,skygofree,mobidash
